<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
20201102,09:30:00,1555.2238796,1555.3820267,1553.1526625,1553.1526625,12
20201102,09:31:00,1552.3670284000002,1555.1167477,1550.4998721,1550.4998721,12
20201102,09:32:00,1550.4488569,1556.4482444,1550.4488569,1556.0758334,12
20201102,09:33:00,1555.7238286,1556.6982189,1552.5557846,1552.5557846,12
20201102,09:34:00,1553.657713,1556.0452243,1553.5862917000002,1553.5862917000002,12
20201102,09:35:00,1553.3057081,1555.8921787000002,1553.3057081,1555.8921787000002,12
20201102,09:36:00,1556.5247672,1557.5450712000002,1556.5043610999999,1557.1573557,12
20201102,09:37:00,1557.2542846,1558.6725070999998,1556.6523052,1558.376619,12
20201102,09:38:00,1558.3664159000002,1559.4683442,1557.6368986,1559.396923,12
20201102,09:39:00,1560.0091054000002,1561.692607,1559.8764658,1561.692607,12
20201102,09:40:00,1561.7079115,1563.1975554,1561.5446629,1562.4068198,12
20201102,09:41:00,1563.0241037,1564.2739761,1562.4221243,1564.2382654,12
20201102,09:42:00,1564.1617425999998,1564.1821487,1561.6466933,1561.6466933,12
20201102,09:43:00,1561.4630386,1562.4884441,1560.3458057,1560.3458057,12
20201102,09:44:00,1560.5141558,1561.2742822999999,1560.3202981,1560.6059832,12
20201102,09:45:00,1561.202861,1561.9119723,1560.2845874000002,1561.4171249,12
20201102,09:46:00,1561.9221754,1561.9221754,1559.6673035000001,1559.8152476,12
20201102,09:47:00,1559.8815674,1559.8815674,1557.6471015999998,1558.0399186,12
20201102,09:48:00,1558.5500705999998,1560.0805266,1558.5296646,1559.141847,12
20201102,09:49:00,1559.9835978,1561.7691298,1559.9835978,1561.4732416,12
20201102,09:50:00,1560.8508562000002,1563.0802204000001,1560.7692318,1563.0802204000001,12
20201102,09:51:00,1563.243469,1564.5137475,1563.243469,1564.5137475,12
20201102,09:52:00,1564.5749658,1565.1208284000002,1563.8964636,1565.1208284000002,12
20201102,09:53:00,1564.8606509,1566.6359798,1564.8606509,1566.6359798,12
20201102,09:54:00,1567.059406,1567.059406,1566.2278582000001,1566.2278582000001,12
20201102,09:55:00,1566.4625282,1567.6766899,1565.4932394000002,1565.4932394000002,12
20201102,09:56:00,1565.2483664000001,1565.2585694,1563.9423773,1564.2943822,12
20201102,09:57:00,1564.8096357000002,1565.4932394000002,1564.8096357000002,1565.2024527,12
20201102,09:58:00,1564.1719457000002,1564.518849,1563.478139,1564.2586715,12
20201102,09:59:00,1564.3198898,1564.4729354,1562.6669972999998,1562.8455505000002,12
20201102,10:00:00,1566.028899,1566.1870460999999,1561.6977085,1561.8048404,12
20201102,10:01:00,1561.1620489,1563.478139,1561.1620489,1563.3506009999999,12
20201102,10:02:00,1563.0649157999999,1563.605677,1562.6363882,1563.095525,12
20201102,10:03:00,1562.7843322,1562.7843322,1560.9988002,1562.6823018,12
20201102,10:04:00,1563.0190022,1563.4679359000002,1562.4629365,1563.3250934,12
20201102,10:05:00,1562.6823018,1563.6770982,1561.1212367,1561.1212367,12
20201102,10:06:00,1560.7386227,1560.7386227,1559.2234713,1559.2234713,12
20201102,10:07:00,1559.3816184,1559.3816184,1558.3409083,1558.5551722,12
20201102,10:08:00,1558.9581922,1560.4478361,1558.652101,1560.1060342,12
20201102,10:09:00,1560.3151965999998,1560.3151965999998,1558.8561617999999,1559.4122275,12
20201102,10:10:00,1559.6009838,1561.1620489,1559.1469485,1560.289689,12
20201102,10:11:00,1560.5702726,1560.5702726,1558.9785983,1559.8509582000002,12
20201102,10:12:00,1560.5294604,1563.5852709,1560.5294604,1563.3403979,12
20201102,10:13:00,1563.3097888,1565.1055238,1563.3097888,1565.1055238,12
20201102,10:14:00,1565.1055238,1565.9319701,1564.8504478,1565.4575287,12
20201102,10:15:00,1565.2585694,1565.8044320999998,1564.1668442,1564.1974533,12
20201102,10:16:00,1564.4168186,1566.1411324,1564.4168186,1565.5442546,12
20201102,10:17:00,1565.4983409000001,1565.4983409000001,1564.3147882,1564.8657524,12
20201102,10:18:00,1565.3759044,1567.9215629,1565.3759044,1567.9215629,12
20201102,10:19:00,1568.1817404,1568.1817404,1567.1818425000001,1567.9776795999999,12
20201102,10:20:00,1567.6460808,1567.6817914,1564.9167676,1564.9983919000001,12
20201102,10:21:00,1564.9677828,1565.5646605999998,1563.498545,1563.9168697,12
20201102,10:22:00,1564.1413366,1564.8759554,1563.7893317,1563.860753,12
20201102,10:23:00,1564.4831384000001,1564.8096357000002,1562.8812610999998,1562.8812610999998,12
20201102,10:24:00,1563.1720478,1564.5647627,1563.1720478,1563.6770982,12
20201102,10:25:00,1563.8097377999998,1564.8555494000002,1563.0700174,1563.0700174,12
20201102,10:26:00,1563.5036466,1564.3045852,1563.4424283,1563.4424283,12
20201102,10:27:00,1563.3199918,1564.5494582000001,1562.6618958,1564.5494582000001,12
20201102,10:28:00,1564.6004734,1565.401412,1563.9525803,1563.9525803,12
20201102,10:29:00,1563.9321742,1564.1056259000002,1563.498545,1563.8250423,12
20201102,10:30:00,1563.9117682,1563.9117682,1562.9985961,1562.9985961,12
20201102,10:31:00,1562.5343578,1562.5343578,1561.4222264,1562.1619468000001,12
20201102,10:32:00,1562.085424,1562.605779,1562.0191042000001,1562.5088502,12
20201102,10:33:00,1562.9985961,1563.0139006,1560.3662118,1560.3662118,12
20201102,10:34:00,1560.6212878,1561.1467443,1560.6212878,1561.0294094,12
20201102,10:35:00,1561.1110337000002,1561.1110337000002,1557.7899442,1557.7899442,12
20201102,10:36:00,1558.0858323,1558.0858323,1556.4890566,1556.9890055,12
20201102,10:37:00,1556.9328888,1556.9328888,1555.9789045999999,1556.4533459000002,12
20201102,10:38:00,1556.4890566,1556.7492340999997,1556.0146152,1556.4992596,12
20201102,10:39:00,1556.5298687000002,1556.5298687000002,1555.6268997000002,1556.5145642,12
20201102,10:40:00,1556.3309094,1556.9175842,1556.2390821,1556.5298687000002,12
20201102,10:41:00,1556.4890566,1556.6931174000001,1554.5963926,1554.5963926,12
20201102,10:42:00,1554.3311136,1554.9024838,1553.7699464000002,1553.7699464000002,12
20201102,10:43:00,1553.3924339000002,1553.7750479000001,1553.030226,1553.7750479000001,12
20201102,10:44:00,1553.8260630999998,1554.0658345999998,1552.7088302000002,1552.7088302000002,12
20201102,10:45:00,1552.9945154000002,1554.8463670999997,1552.8975865,1554.8463670999997,12
20201102,10:46:00,1554.8565701999999,1555.463651,1554.5657835000002,1555.463651,12
20201102,10:47:00,1555.5656814000001,1556.4686505000002,1555.5656814000001,1555.8054529,12
20201102,10:48:00,1555.2136765999999,1555.9942090999998,1555.2136765999999,1555.9942090999998,12
20201102,10:49:00,1556.4023307,1557.2593861,1556.4023307,1557.2083709,12
20201102,10:50:00,1557.2899952,1558.0195125999999,1557.0145131,1557.5858834,12
20201102,10:51:00,1557.3461119,1557.3461119,1554.7902504,1555.2850978,12
20201102,10:52:00,1555.5197678,1556.1523562,1555.5197678,1556.1523562,12
20201102,10:53:00,1556.4176353,1557.2899952,1555.8156559000001,1557.0655282999999,12
20201102,10:54:00,1557.0451222000002,1557.0451222000002,1556.2135744999998,1556.4992596,12
20201102,10:55:00,1556.4176353,1557.366518,1555.5656814000001,1557.2185739,12
20201102,10:56:00,1556.983904,1557.0145131,1556.5961885,1557.0145131,12
20201102,10:57:00,1556.718625,1556.718625,1555.4075343,1555.4075343,12
20201102,10:58:00,1555.2646918,1556.6114929999999,1554.8667732000001,1556.1268486,12
20201102,10:59:00,1555.8921787000002,1556.2543865999999,1554.9126869000002,1555.4738541,12
20201102,11:00:00,1554.7596412999999,1555.3208085,1554.2443878,1555.3208085,11
20201102,11:01:00,1555.9125847999999,1556.2798942,1553.5148704000003,1553.5148704000003,12
20201102,11:02:00,1553.2240838,1554.1729664999998,1553.0455306,1554.1729664999998,12
20201102,11:03:00,1554.9330929999999,1555.8003514,1554.8973823,1555.0300218,12
20201102,11:04:00,1555.7136255,1556.591087,1555.7136255,1555.7391331,12
20201102,11:05:00,1555.7901482999998,1555.7901482999998,1553.5964947,1553.9587026,12
20201102,11:06:00,1553.9587026,1555.2034735,1553.9587026,1555.2034735,12
20201102,11:07:00,1555.2034735,1555.2391842,1554.2800984,1554.2800984,12
20201102,11:08:00,1554.1576619,1554.8973823,1553.8566722,1554.7953519,12
20201102,11:09:00,1554.7188291,1554.7188291,1554.2596923,1554.2903014,12
20201102,11:10:00,1554.6933215,1555.718727,1554.6933215,1555.4024328,12
20201102,11:11:00,1555.3106054000002,1555.3106054000002,1553.3057081,1553.4332461,12
20201102,11:12:00,1553.0761396999999,1553.0761396999999,1550.8110648,1550.8110648,12
20201102,11:13:00,1551.1018514,1552.5506830999998,1550.9232982,1552.5506830999998,12
20201102,11:14:00,1552.4435512,1552.9077895,1552.3772314,1552.5506830999998,12
20201102,11:15:00,1552.382333,1552.382333,1550.1682733,1550.3723340999998,12
20201102,11:16:00,1550.3060143,1550.3060143,1549.469365,1549.469365,12
20201102,11:17:00,1549.4234514,1549.4999742,1548.3878428,1548.831675,12
20201102,11:18:00,1548.7857614,1549.0714465,1548.2041881,1549.0102282,12
20201102,11:19:00,1548.8418781,1548.8418781,1547.6583254,1547.7807619,12
20201102,11:20:00,1547.7654574,1547.8776908,1546.4186561,1547.0869552000001,12
20201102,11:21:00,1547.4389601,1547.4389601,1546.3829454000002,1546.408453,12
20201102,11:22:00,1546.5257880000001,1548.2960154000002,1546.1737830999998,1548.2960154000002,12
20201102,11:23:00,1548.1531729,1548.1531729,1546.9798233,1546.9798233,12
20201102,11:24:00,1547.4389601,1547.8929954000002,1547.1328689000002,1547.7858634000002,12
20201102,11:25:00,1547.3777418,1547.7144422000001,1546.6686306,1547.5409905,12
20201102,11:26:00,1547.5511935,1548.3317261,1547.5511935,1548.2552033,12
20201102,11:27:00,1548.3980457999999,1548.821472,1548.0715486,1548.7194416,12
20201102,11:28:00,1548.9235024,1549.4642635,1547.4950767999999,1547.4950767999999,12
20201102,11:29:00,1547.2859145,1547.2859145,1546.2962195999999,1547.1022598,12
20201102,11:30:00,1547.6277163,1547.6277163,1545.8574889000001,1546.3727424,12
20201102,11:31:00,1546.663529,1548.3470306,1546.663529,1548.3470306,12
20201102,11:32:00,1548.0919545999998,1548.3062185,1547.535889,1547.535889,12
20201102,11:33:00,1547.6991375999999,1548.3164215,1547.4542646,1547.4542646,12
20201102,11:34:00,1547.173681,1547.4746707,1546.1992907,1546.3370318,12
20201102,11:35:00,1546.3013211,1546.9135035,1546.1482755000002,1546.6584275,12
20201102,11:36:00,1546.7859655,1546.7859655,1545.8217782,1546.1839862,12
20201102,11:37:00,1545.9952299000001,1546.2758135,1545.8115752,1545.8115752,12
20201102,11:38:00,1545.8166767,1545.8370828,1543.8372869999998,1543.8372869999998,12
20201102,11:39:00,1543.985231,1545.388149,1543.985231,1545.3218293,12
20201102,11:40:00,1545.6126159000003,1546.8318792000002,1545.4595703,1546.6329199000002,12
20201102,11:41:00,1546.6380214,1546.6380214,1545.5922097999999,1545.770763,12
20201102,11:42:00,1545.7044433,1548.4541625999998,1545.7044433,1548.0409394,12
20201102,11:43:00,1547.938909,1548.1225638,1547.7093406,1547.8521832000001,12
20201102,11:44:00,1547.8368785999999,1549.6887304000002,1547.7399498,1549.6887304000002,12
20201102,11:45:00,1549.6275122000002,1550.0101262,1549.4948726,1549.7346441,12
20201102,11:46:00,1549.7499486,1550.3009127999999,1549.1530707999998,1549.5815985,12
20201102,11:47:00,1550.2907097999998,1550.9283998,1550.1376642,1550.7294405,12
20201102,11:48:00,1550.6478162,1550.7855572,1550.2294915,1550.4488569,12
20201102,11:49:00,1550.4131462,1550.4131462,1549.8213699,1549.841776,12
20201102,11:50:00,1549.5203802,1549.5203802,1548.1480714000002,1548.8673857,12
20201102,11:51:00,1548.6582234,1550.2703037,1548.4592641,1550.2703037,12
20201102,11:52:00,1550.3927402000002,1550.3927402000002,1550.0101262,1550.0305322000002,12
20201102,11:53:00,1550.0254307,1550.3468265000001,1549.5611924,1550.0203292,12
20201102,11:54:00,1550.0101262,1550.2141869999998,1549.6938319,1550.0560398,12
20201102,11:55:00,1549.9642125,1550.2141869999998,1549.8519789999998,1549.9438064,12
20201102,11:56:00,1549.8672835999998,1549.8672835999998,1548.1684774,1548.1684774,12
20201102,11:57:00,1548.1327668,1548.3878428,1547.7552543,1547.7552543,12
20201102,11:58:00,1547.3777418,1547.938909,1546.8930974000002,1547.2297978,12
20201102,11:59:00,1547.3369297,1547.4644677000001,1546.4237576,1546.4237576,12
20201102,12:00:00,1546.3217272,1546.6074123,1544.3933525999998,1544.3933525999998,12
20201102,12:01:00,1544.2045964000001,1544.2045964000001,1543.5516017999998,1543.7046474,12
20201102,12:02:00,1543.857693,1545.0718548,1543.857693,1544.9290122000002,12
20201102,12:03:00,1544.9902305,1544.9902305,1544.5821089,1544.8167787999998,12
20201102,12:04:00,1544.5259922,1544.7606621,1544.5259922,1544.6943423,12
20201102,12:05:00,1544.7759666,1544.7759666,1544.0209417,1544.6943423,12
20201102,12:06:00,1544.740256,1545.4136566,1544.740256,1545.1075654,12
20201102,12:07:00,1545.1738852,1545.4595703,1544.6739362,1545.4595703,12
20201102,12:08:00,1546.4288590999997,1547.9134014,1546.4288590999997,1547.4287570000001,12
20201102,12:09:00,1547.1226658,1547.6073102,1546.6788336,1547.6073102,12
20201102,12:10:00,1547.6124117999998,1548.821472,1547.4338586,1548.0664470000002,12
20201102,12:11:00,1548.0715486,1548.0715486,1545.2963217,1545.2963217,12
20201102,12:12:00,1545.4697734000001,1545.5871083,1545.133073,1545.3932505999999,12
20201102,12:13:00,1545.133073,1545.5156869999998,1544.9290122000002,1545.240205,12
20201102,12:14:00,1545.5973114,1545.8523874000002,1544.3270329000002,1545.8523874000002,12
20201102,12:15:00,1545.4901794000002,1546.9390111,1545.4901794000002,1546.4135545999998,12
20201102,12:16:00,1546.5717017000002,1546.8420822,1546.1023618,1546.8420822,12
20201102,12:17:00,1547.0155339000003,1547.0155339000003,1545.3422354,1545.3626414,12
20201102,12:18:00,1545.3932505999999,1545.4493673,1544.6841393,1545.2197989000001,12
20201102,12:19:00,1545.3626414,1545.643225,1544.9596214,1545.0004335,12
20201102,12:20:00,1544.6535302000002,1545.260611,1544.4188602,1545.2351034000003,12
20201102,12:21:00,1545.6075144000001,1546.3829454000002,1545.3983521,1545.3983521,12
20201102,12:22:00,1545.4799764,1545.4799764,1544.2913222000002,1544.6280226,12
20201102,12:23:00,1544.9035046,1546.1176664000002,1544.8065758,1546.1176664000002,12
20201102,12:24:00,1546.0666512,1546.1737830999998,1545.3422354,1546.1737830999998,12
20201102,12:25:00,1546.1992907,1546.3574377999998,1545.6636311,1545.7197478,12
