DATE|TITLE|DESCRIPTION|CHANGE|LEVEL
2021-04-12 15:33:00|Tesla rallies after Canaccord upgrades rating, says it is like Apple|"Shares of Tesla climbed 3% on Monday after Canaccord Genuity raised its rating on the electric car maker to ""buy"" and compared its brand to Apple."|-0.0024735082754649973|-2.0
2021-04-12 14:06:00|Uber, PayPal, Walgreens launch $11 million vaccine rides fund|Uber Technologies Inc, PayPal Holdings Inc and Walgreens Inc on Monday said they launched an $11 million fund to provide free ride-hail trips to U.S. COVID-19 vaccination sites for people who lack access to transportation.|0.0045657392909179695|4.0
2021-04-08 19:30:00|Some early Ford Mustang Mach-E owners suffer dead batteries|Early owners of Ford Motor Co's newest electric vehicle, the Mustang Mach-E crossover, have experienced a battery problem that leaves their vehicles unable to start after charging, according to a service bulletin filed by Ford with the National Highway Traffic Safety Administration...|0.0017545364508861905|2.0
2021-04-08 16:36:00|Porsche can not rule out production cuts over chip shortage: Handelsblatt|Volkswagen's luxury sports car unit Porsche AG might have to adjust production to reflect an ongoing shortage of crucial automotive chips, Handelsblatt reported.|-0.0003310882397578041|0.0
2021-04-08 16:34:00|White House sees great focus on semiconductor chip shortage|The Biden administration has put a big focus on addressing an ongoing shortage of semiconductors that are used in a range of devices from cars to computers, White House Press Secretary Jen Psaki said on Thursday.|-0.0006527231013139234|-1.0
2021-04-08 15:40:00|Michelin looks beyond tyres to help drive growth|France's Michelin plans to add about 14 billion euros ($17 billion) to its annual revenues by 2030, by recovering from a pandemic-induced slowdown and diversifying beyond its tyre-making heritage into new activities including hydrogen power and medical devices.|0.0023564065173902193|2.0
2021-04-07 19:41:00|Biden plan calls for $100 billion in new EV consumer rebates: email|The Biden administration's $174 billion proposal to boost electric vehicles calls for $100 billion in new consumer rebates and $15 billion to build 500,000 new electric vehicle charging stations, according to a Transportation Department email sent to congressional staff...|0.0015873626689582032|1.0
2021-04-07 19:18:00|GM offers clues to technology aimed at slashing EV battery costs|General Motors Co is testing a variety of battery chemistries, technologies and manufacturing processes aimed at slashing the cost of future electric vehicle batteries and reducing its dependence on such price-sensitive metals as cobalt, President Mark Reuss said on Wednesday...|0.0005363266214255535|0.0
2021-04-07 17:51:00|U.S. Senate readying legislation on semiconductors, Biden says|U.S. Senate leaders are preparing to introduce legislation on semiconductors, President Joe Biden said on Wednesday as the nation wrestles with an ongoing shortage of the critical technology used in a range of devices from cars to computers.|-0.002837095537132739|-3.0
2021-04-07 17:49:00|U.S. Senate readying legislation on semiconductors, Biden says|U.S. Senate leaders are preparing to introduce legislation on semiconductors, President Joe Biden said on Wednesday as the nation wrestles with an ongoing shortage of the critical technology used in a range of devices from cars to computers.|-0.0022571428197841747|-2.0
2021-04-07 16:52:00|Nikola's fuel-cell development head exits, shares fall|Nikola Corp said on Wednesday its fuel-cell development head, Jesse Schneider, has left the company to pursue opportunities in the hydrogen industry, sending shares of the electric-truck maker down 5%.|-0.0007432179850700438|-1.0
2021-04-07 15:00:00|Biden willing to negotiate on corporate taxes, but 'sick and tired' of non-payers|President Joe Biden on Wednesday made a fiery appeal for U.S companies to foot most of the bill for his $2 trillion-plus infrastructure plan, but signaled an openness to negotiate over exactly how much they would have to pay.|0.0003861550067849606|0.0
2021-04-07 14:59:00|Biden White House in talks with airlines on vaccine passports; will issue guidance|The Biden administration is in extended discussions with U.S. airlines and other travel industry groups to provide technical guidance for vaccine passports that could be used to ramp up international air travel safely, industry officials said.|-0.0010352746301627302|-1.0
2021-04-07 14:08:00|Uber dangles higher pay to lure U.S. drivers back, but warns it will not last|Uber Technologies Inc said U.S. drivers on their ride-hail platforms should take advantage of pay hikes as trip demand temporarily outstrips driver supply, but warned the windfall will not last.|0.0004049917958339755|0.0
2021-04-06 15:49:00|GM to start making Silverado electric pickups late next year in Detroit: source|General Motors Co is planning to start production of Chevrolet Silverado electric pickup truck late next year at its Detroit-Hamtramck assembly plant, a source familiar with the U.S. automaker's plan said on Tuesday.|-0.0010087518929858819|-1.0
2021-04-06 14:53:00|Ryanair says Air France bailout to damage competition for decades|A recapitalisation of Air France-KLM that will see France more than double its stake to nearly 30% will damage competition for decades to come, Europe's largest low-cost carrier Ryanair said on Tuesday.|0.0025978653992173584|2.0
2021-04-05 16:17:00|Transat sinks 22% after Air Canada scraps buyout deal|Transat's shares slumped more than 22% on Monday after Air Canada scrapped its C$188.7 million ($150.83 million) buyout deal for the tour operator due to antitrust hurdles in Europe.|0.0004505729253054813|0.0
