DATE|TITLE|DESCRIPTION|CHANGE|LEVEL
2021-04-16 18:52:00|Brazil asks women to delay pregnancy over new coronavirus variant fears|Brazil asked women on Friday to delay getting pregnant until the worst of the pandemic passes, saying the virus variant that is devastating the South American country appears to affect expectant mothers more than earlier versions of the coronavirus.|0.0003417735983741732|1.0
2021-04-16 14:05:00|EU drug regulator to issue view on J&J vaccine side effects on April 20|Europe's drug regulator on Friday said it would hold a press briefing on its review of very rare blood clotting disorders associated with the use of Johnson & Johnson's COVID-19 vaccine on Tuesday, April 20, at 1500 GMT.|-0.0007902485716166918|-2.0
2021-04-15 17:05:00|Global officials urge rich countries to donate excess COVID-19 vaccines, money to help end pandemic|GENEVA/NEW YORK (Reuters) - Top U.N., financial and vaccine officials on Thursday urged rich countries to donate excess COVID-19 vaccine doses to a program supplying lower income countries in a bid to end the pandemic and get the global economy back on track.|0.00042640417072958847|1.0
2021-04-15 15:15:00|Brazil's hospitals running out of sedatives as COVID-19 rages|Brazil's hospitals were running out of drugs needed to sedate COVID-19 patients on Thursday, with the government urgently seeking to import supplies amid reports of the seriously ill being tied down and intubated without effective sedatives.|-0.0006417383062503612|-2.0
2021-04-15 14:51:00|Tight rein on costs helps UnitedHealth beat profit expectations, raise forecast|UnitedHealth Group Inc (UNH.N) on Thursday raised its 2021 adjusted profit target, as tight control on medical costs helped the largest U.S. health insurer handily beat first-quarter profit estimates, sending shares up more than 4%.|0.00115945064473566|3.0
2021-04-15 14:02:00|Italy reported four clot deaths after AstraZeneca shots, data shows|Four people died in Italy from rare blood clots after they received the AstraZeneca (AZN.L) COVID-19 vaccine, a report from the AIFA national pharmaceutical agency said on Thursday.|0.0010727681626174768|3.0
2021-04-14 18:41:00|Moderna discusses COVID-19 vaccine manufacturing with Nexus Pharmaceuticals -sources|Moderna Inc (MRNA.O), looking to boost production of its COVID-19 vaccine, met with Nexus Pharmaceuticals to discuss manufacturing the shot at the company's new plant in Wisconsin, which has the capacity to process and fill 30 million doses a month, sources with knowledge of the matter said.|0.0002814972909548352|1.0
2021-04-14 16:37:00|France's COVID-19 infection cases accelerate, hospital pressure eases slightly|France saw a decline in the number of COVID patients in intensive care units on Wednesday, and the daily death toll fell, but the number of new infections continued to grow.|0.0009654930043565546|3.0
2021-04-14 14:04:00|Healthcare collapse imminent, Brazil's Sao Paulo warns, as COVID-19 cases surge|Brazil's richest and most populous state, Sao Paulo, has warned its ability to care for seriously ill COVID-19 patients was on the verge of collapse as it ran perilously low on key drugs, according to a letter to the federal government seen by the Folha de Sao Paulo newspaper...|-0.001182346595547501|-3.0
2021-04-14 13:59:00|Swiss gov't looks to boost domestic COVID-19 vaccine, therapy production|Switzerland will investigate ways to strengthen domestic COVID-19 vaccine and drug development and production, the government said on Wednesday, reacting as global demand outstrips supply due to rising infections at home and abroad.|0.0006223531316924547|2.0
2021-04-14 13:40:00|Brazil's P1 coronavirus variant mutating, may become more dangerous -study|Brazil's P1 coronavirus variant, behind a deadly COVID-19 surge in the Latin American country that has raised international alarm, is mutating in ways that could make it better able to evade antibodies, according to scientists studying the virus.|0.0018403180578812073|4.0
2021-04-12 18:28:00|Ontario closes in-person schools due to rising COVID-19 cases - premier|The Canadian province of Ontario is closing schools for in-person learning due to rising variant-driven COVID-19 cases, Premier Doug Ford said on Monday without mentioning when the remote learning would end.|0.0002605722492738938|1.0
2021-04-12 16:06:00|France extends gap between mRNA vaccine shots to ramp-up rollout|PARIS (Reuters) - France will lengthen the period between the first and second shots of mRNA anti-COVID vaccines to six weeks from four weeks  as of April 14 to accelerate the inoculation campaign, Health Minister Olivier Veran told the JDD newspaper on Sunday.|-7.657788737369664e-05|0.0
2021-04-12 14:47:00|Ontario hospitals may have to withhold care as COVID-19 fills ICUs|Doctors in the Canadian province of Ontario may soon have to decide who can and cannot receive treatment in intensive care as the number of coronavirus infections sets records and patients are packed into hospitals still stretched from a December wave.|0.00027661251034527545|1.0
2021-04-09 16:43:00|J&J COVID-19 vaccine under EU review over blood clots|Europe's drug regulator said on Friday it is reviewing rare blood clots in four people in the United States who received Johnson & Johnson's (JNJ.N) COVID-19 vaccine.|0.0002932077352382212|1.0
2021-04-08 19:31:00|France reports 5,705 people in intensive care units with COVID-19|The French health ministry on Thursday reported the number of people in intensive care units with COVID-19 fell by 24 from Wednesday, to 5,705, the first decrease in eight days.|-0.0007348959542043954|-2.0
